timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780662014.7660885,ACK,602,1,0.0012505054473876953
1780662014.766867,SEND,603,1,
1780662014.7715652,ACK,603,1,0.004698276519775391
1780662014.7737556,SEND,604,1,
1780662014.7794304,ACK,604,1,0.005674839019775391
1780662014.7799509,SEND,605,1,
1780662014.7807484,ACK,605,1,0.0007975101470947266
1780662014.781259,SEND,606,1,
1780662014.7821062,ACK,606,1,0.0008471012115478516
1780662014.7829573,SEND,607,1,
1780662014.7843807,ACK,607,1,0.0014233589172363281
1780662014.7874064,SEND,608,1,
1780662014.7937145,ACK,608,1,0.006308078765869141
1780662014.796871,SEND,609,1,
1780662014.7976985,ACK,609,1,0.0008275508880615234
1780662014.798235,SEND,610,1,
1780662014.7995145,ACK,610,1,0.001279592514038086
1780662014.8007536,SEND,611,1,
1780662014.8062155,ACK,611,1,0.005461931228637695
1780662014.8113925,SEND,612,1,
1780662016.8159552,TIMEOUT,612,1,
1780662016.8164043,SEND,612,2,
1780662016.8202975,ACK,612,2,0.003893136978149414
1780662016.8240201,SEND,613,1,
1780662016.8253279,ACK,613,1,0.0013077259063720703
1780662016.827572,SEND,614,1,
1780662016.8289735,ACK,614,1,0.0014014244079589844
1780662016.836417,SEND,615,1,
1780662016.837888,ACK,615,1,0.0014710426330566406
1780662016.8386977,SEND,616,1,
1780662016.8396,ACK,616,1,0.0009024143218994141
1780662016.8402061,SEND,617,1,
1780662018.8534422,TIMEOUT,617,1,
1780662018.853865,SEND,617,2,
